id	lat	lng	city	address_	province	suburb	street	postcode
617	24.78653	46.62169	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District	Abdullah Bin Shouyen Street	13521
618	24.78653	46.62169	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District	Abdullah Bin Shouyen Street	13521
626	24.88038	46.62368	Riyadh Region	Al Aarid, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aarid		13338
627	24.88038	46.62368	Riyadh Region	Al Aarid, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aarid		13338
628	24.88038	46.62368	Riyadh Region	Al Aarid, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aarid		13338
629	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
630	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
631	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
632	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
633	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
634	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
635	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
636	24.84504	46.79168	Riyadh Region	Al Rimal District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rimal District		13256
637	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
638	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
639	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
640	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
641	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
642	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
643	24.81668271	46.60169989	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Saadat	13531
653	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
656	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
659	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
662	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
663	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
664	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
665	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
666	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
667	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
668	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
669	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
670	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
671	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
672	24.77637	46.62932	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Talif	13519
678	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
679	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
680	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
681	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
682	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
683	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
685	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
686	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
687	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
689	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
690	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
691	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
692	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
